,Unnamed: 0,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
159,159,Norman Wells,CA,2020-02-23 02:37:01,65.28,-126.83,5.0,84,75,2.24,light snow,0.0,0.0
160,160,Sakaiminato,JP,2020-02-23 02:40:07,35.55,133.23,50.0,43,75,18.34,broken clouds,0.0,0.0
161,161,La Ligua,CL,2020-02-23 02:40:07,-32.45,-71.23,57.2,87,0,0.83,clear sky,0.0,0.0
162,162,Winter Garden,US,2020-02-23 02:39:51,28.57,-81.59,57.2,76,1,10.29,clear sky,0.0,0.0
163,163,Talcahuano,CL,2020-02-23 02:40:07,-36.72,-73.12,59.0,82,0,3.36,clear sky,0.0,0.0
164,164,Bonavista,CA,2020-02-23 02:40:07,48.65,-53.11,28.0,84,69,11.01,broken clouds,0.0,0.0
165,165,Adrano,IT,2020-02-23 02:40:08,37.66,14.83,48.0,100,5,2.24,clear sky,0.0,0.0
166,166,Lorengau,PG,2020-02-23 02:35:11,-2.02,147.27,83.62,67,0,3.71,clear sky,0.0,0.0
167,167,Kurilsk,RU,2020-02-23 02:40:08,45.23,147.88,31.5,91,93,12.17,light snow,0.0,0.19
168,168,Kristianstad,SE,2020-02-23 02:40:08,56.03,14.15,41.0,69,57,23.04,broken clouds,0.0,0.0
169,169,Manokwari,ID,2020-02-23 02:40:09,-0.87,134.08,79.61,84,100,9.69,light rain,0.94,0.0
170,170,Mogadishu,SO,2020-02-23 02:40:09,2.04,45.34,80.76,83,38,22.79,scattered clouds,0.0,0.0
171,171,Sturgis,US,2020-02-23 02:40:09,41.8,-85.42,37.99,64,1,5.82,clear sky,0.0,0.0
172,172,Damaturu,NG,2020-02-23 02:40:10,11.75,11.96,68.52,28,30,13.35,scattered clouds,0.0,0.0
173,173,Codrington,AU,2020-02-23 02:40:10,-38.27,141.97,62.46,74,0,10.89,clear sky,0.0,0.0
174,174,Bredasdorp,ZA,2020-02-23 02:40:10,-34.53,20.04,62.6,72,21,5.82,few clouds,0.0,0.0
175,175,Pangkalanbuun,ID,2020-02-23 02:40:10,-2.68,111.62,86.97,72,2,0.94,light rain,2.0,0.0
176,176,Vardo,NO,2020-02-23 02:40:11,70.37,31.11,32.88,80,67,17.11,broken clouds,0.0,0.0
177,177,Gandajika,CD,2020-02-23 02:40:11,-6.75,23.95,69.51,96,100,2.37,overcast clouds,0.0,0.0
178,178,Roanoke Rapids,US,2020-02-23 02:40:11,36.46,-77.65,35.01,79,1,5.86,clear sky,0.0,0.0
179,179,Sao Joao Da Barra,BR,2020-02-23 02:40:11,-21.64,-41.05,73.72,91,100,3.42,light rain,2.19,0.0
180,180,Thompson,CA,2020-02-23 02:40:12,55.74,-97.86,21.2,62,40,3.36,scattered clouds,0.0,0.0
181,181,Kushima,JP,2020-02-23 02:40:12,31.46,131.23,57.2,26,0,8.05,clear sky,0.0,0.0
